Feature,Importance
ASTV,0.13438992612252448
ALTV,0.11726106752303264
Mean,0.1019715181186677
AC,0.0793673239918022
Median,0.07407242779322781
DP,0.06485631678771524
MSTV,0.06425477771311687
MLTV,0.05592743759724124
Mode,0.05589192891453575
LB,0.046530727142766425
Variance,0.04133174516613728
Width,0.03017815879847462
UC,0.028511004432387785
Min,0.02772876069226092
Max,0.02642593595299693
FM,0.016881615957382846
Nmax,0.013883248839441005
DL,0.01265627862402111
Tendency,0.005547484861395624
Nzeros,0.0021560471793198115
DS,0.00017626779155179796
